ms,degC
526,35.63
3045,35.63
5564,35.69
8083,35.63
10603,35.75
13122,35.75
15641,35.75
18161,35.75
20680,35.75
23199,35.75
25719,35.81
28238,35.81
30757,35.81
33276,35.88
35796,35.94
38316,35.88
40835,35.88
43355,35.88
45874,35.94
48393,35.94
50913,36.00
53432,36.00
55951,35.94
58471,36.00
60990,36.06
63509,36.00
66029,36.06
68548,36.06
71067,36.06
73587,36.06
76106,36.06
78625,36.13
81145,36.13
83664,36.13
86183,36.13
88704,36.13
91223,36.13
93743,36.13
96262,36.19
98781,36.19
101301,36.13
