ms,degC
526,35.44
3045,35.38
5564,35.38
8083,35.38
10602,35.38
13122,35.38
15641,35.44
18160,35.38
20679,35.44
23198,35.50
25718,35.56
28237,35.50
30756,35.50
33275,35.56
35795,35.63
38315,35.63
40834,35.63
43353,35.69
45873,35.69
48392,35.69
50911,35.75
53431,35.75
55950,35.81
58469,35.88
60988,35.88
63508,35.88
66027,35.88
68546,35.94
71066,35.94
73585,35.94
76104,36.00
78623,36.06
81143,36.13
83662,36.06
86181,36.06
88701,36.13
91220,36.13
93740,36.19
96260,36.25
98779,36.25
101298,36.19
